Cno ,  Csize , CEdge , CDensity , Cluster Info
C1,21,45,2.33,"[PLG, METTL14, HMGB1, ENO1, IGFBP3, THBS1, FGA, PLAT, F2, ALB, FN1, LOX, TGM2, F13A1, CFTR, LGALS3BP, ACACA, RPL27A, COPB1, SERPINE1, YWHAQ]"
C2,20,38,2.5,"[CAD, PRKCE, SEC16A, TRIM29, STAU1, PSMC2, CFTR, TUBA1C, XPO1, RUVBL1, RUVBL2, RAB5A, HSPA8, HSPA5, TP53, FN1, HDAC1, LOXL2, RBBP4, TXNRD1]"
C3,18,31,2.47,"[BEST1, RPLP2, NEDD4L, PPP2CA, CFTR, FN1, ESYT2, RPL28, FLOT2, HSPA1A, IGF2BP3, PHGDH, COPE, SSBP1, RNH1, STIP1, ERLIN2, DAB2]"
C4,18,31,2.47,"[ANXA1, OCRL, CFTR, FN1, DHX9, RPL24, PSMA6, CAPZB, CORO1C, RPL14, RPL10A, EIF3K, RPL7, FSCN1, VCL, RPL21, XRCC6, FLNB]"
C5,18,32,2.39,"[CORO1B, CFTR, FN1, NPM1, EEF2, SRP14, ATP5F1B, CAP1, TPM3, RPS10, TKT, RALY, ACTR3, RPL15, ARPC4, RPL29, MYH10, ACLY]"
C6,18,32,2.39,"[MYL6, CFTR, FN1, PFKL, AIMP2, HNRNPK, LDHB, LGALS1, CAPZA1, SNAP23, PPP2R1A, KPNB1, DNAJB1, QARS, PRDX6, TUBB6, IPO5, CCT4]"
C7,17,28,2.43,"[FARSB, GPX7, FGB, FN1, ZC3HC1, PAPSS1, FBLN1, PPID, RBM12, FEN1, VPS26A, NAA15, TLN1, NARS, LPA, FTO, PTPN11]"
C8,16,24,2.5,"[NSMAF, CCT2, PKP3, CCT8, NEK9, EPB41L2, PFDN2, CCT3, NEK4, TCP1, GBA, CFTR, CCT5, CANX, HYOU1, CBL]"
C9,16,24,2.5,"[NOS2, S100A9, S100A8, HSP90AA1, SLC9A3R1, CUL5, CAV1, SPSB4, RAC2, SPSB1, NOS3, CFTR, OCRL, VIM, RAB11A, EIF3E]"
C10,16,24,2.5,"[TPH1, CFL1, YWHAZ, YEATS4, DNAJC12, MCM10, RFWD3, CFTR, FN1, TH, PPP2R1A, DNAJB1, QARS, TUBB6, CCT4, YWHAG]"
C11,16,24,2.5,"[GP6, HIST3H3, YES1, FCER1G, CALM1, FYN, LYN, CFTR, FN1, MYH9, ALDOA, PHB, LDHA, RPL36, XRCC5, RPS15]"
C12,16,25,2.4,"[RACK1, SMPD3, NSMAF, CFTR, DYNLL1, ATP6V0A1, EED, CAV1, KRT18, HDAC6, DSP, DYNC1H1, SKP1, PRKAR2A, PPP2R2B, CLINT1]"
C13,16,24,2.5,"[RAB5C, SOAT1, OCRL, FN1, VAPA, PCDHB15, VNN2, MKLN1, SEC61B, AP2A1, AP2M1, AP2A2, AP2B1, CLTB, ELAVL1, RAC1]"
C14,15,45,1.17,"[FGA, KHDRBS2, FGG, RING1, SNX27, ALDH2, HIST1H2BJ, FGB, DDX19B, MAPK6, YWHAQ, APOA1, MIS12, TF, FN1]"
C15,15,21,2.5,"[CAD, LGALS3BP, TP63, MAPK7, SH3BGRL, MAPK6, PRKCZ, METTL3, IKBKG, HDAC11, DYNLL1, CSNK1A1, MAD2L1, PAK1, HTT]"
C16,15,22,2.39,"[GPX4, OTUB1, PPIB, HSCB, GSTO2, OTUD5, PRDX6, FGB, CAD, CFTR, RHOA, TES, MAP2K1, PAK1, PSME2]"
C17,15,22,2.39,"[F13A1, HSPB1, F13B, CFTR, PSMB3, ESYT1, PSMB4, BAG2, PSMB1, HSPA4, FN1, CPNE1, PTGES3, PKM, RPL8]"
C18,15,22,2.39,"[P4HTM, CD1D, CANX, CALR, B2M, SMPD1, GBA, CD1E, TF, CD1B, DIPK1A, MAN1A2, KCNJ8, FCGRT, CNTNAP3B]"
C19,13,16,2.44,"[OCRL, AP2S1, LTF, HMGB2, LSM12, BOLA2, SNRPE, AAMDC, CTSG, PCBP3, FN1, DHX30, NCL]"
C20,13,17,2.29,"[PIGA, FAM189B, PCDHA3, HAVCR2, LTF, ZNRF4, NAGK, LRRTM1, HS3ST2, CD79B, SMPD2, PCDHB7, PCDHGB4]"
C21,13,17,2.29,"[PCBD1, CUL1, CUL4A, CUL4B, CUL5, CUL3, DCUN1D1, COPS5, DVL2, NIF3L1, PTGS2, CA2, QDPR]"
C22,13,16,2.44,"[PIGM, LTB4R2, UPK1A, HAVCR2, TM2D2, ADGRG5, CHRM4, CNDP1, HTR3C, POMK, PIGO, SOAT1, PTH1R]"
C23,13,17,2.29,"[ACACB, HIST4H4, HMGA1, PRKAA1, STK25, RGS1, HLCS, FN1, ACACA, CFTR, PXN, CCT3, KIF5B]"
C24,13,16,2.44,"[ABCB1, HMMR, RNF2, CAV1, LGALS3, DYNLL1, FAP, TACR1, PTGS2, SLC4A7, CUL1, CFTR, YWHAB]"
C25,13,16,2.44,"[B2M, CD1A, CD1E, CD1B, CD1D, ABHD14A, ITGA7, BACE2, FNDC3A, POMT1, DIPK1A, CANX, MAN1A2]"
C26,13,16,2.44,"[MPST, HSCB, RAE1, DISC1, GPX1, DYNLL1, TXN, ARHGAP11B, KARS, EXOSC2, PC, FN1, MDH2]"
C27,13,16,2.44,"[SLC4A8, CA2, SLC4A7, CFTR, ARHGAP26, LRRK2, PCNA, USP42, SLC9A1, KRAS, YWHAB, FN1, SNAP23]"
C28,13,16,2.44,"[EMD, SOAT1, CFTR, UQCRC1, RPN1, NDUFS1, TERF1, UBIAD1, RTN4R, SEMA7A, RAB11A, CANX, CLTC]"
C29,13,16,2.44,"[CCT6A, NSMAF, CFTR, FBXL19, DOCK8, MAP1LC3A, CCT4, CCT7, XIRP2, KBTBD7, CCT2, FN1, SNAP23]"
C30,13,16,2.44,"[RAB14, OCRL, CFTR, EIF3C, SNX21, HERC2, GTSE1, IL1R2, INPP5B, PFN1, CLTC, CLTA, SNX9]"
C31,13,16,2.44,"[CBX3, DYNLL1, FN1, CCDC77, RPSA, NF2, DYNLT1, PHLDB2, SPTLC1, PPP2R1A, CD44, CFTR, GSN]"
C32,13,16,2.44,"[ATP5PF, GBA, TOP3B, RPS6KA3, ZFP91, RAB27B, HSP90B1, MTREX, CCT3, HSPD1, CFTR, TCP1, NSMAF]"
C33,13,17,2.29,"[FNTB, SMPD2, TMEM30A, MTHFR, FAM189B, KCNC4, LRRTM1, TEX28, PCDHGB4, PCDHB7, PIGA, ZNRF4, PCDHA3]"
C34,13,17,2.29,"[EVA1C, PIGA, FAM189B, PCDHA3, HAVCR2, LTF, ZNRF4, NAGK, LRRTM1, HS3ST2, SMPD2, PCDHB7, PCDHGB4]"
C35,13,16,2.44,"[AKT1, NOS3, NOSIP, NOSTRIN, CALM1, NOS2, UCHL5, RAC1, SPSB2, CFTR, SLC9A3R1, S100A8, OCRL]"
C36,13,17,2.29,"[HNF1B, PCBD1, HNF1A, CUL1, CUL4A, CUL4B, CUL5, CUL3, DCUN1D1, COPS5, PTGS2, CA2, QDPR]"
C37,12,21,1.57,"[PCCB, IFIT1, NDUFS7, MCCC1, PCCA, MCCC2, STK4, ECH1, MRPL58, INPPL1, ACSM5, ACACA]"
C38,12,15,2.2,"[ASAH1, TBC1D22B, ZNF556, ZIC1, LYPD1, RNF6, NSG2, AIRE, SLCO6A1, FTH1, GM2A, HSF2]"
C39,12,14,2.36,"[PRPF4, CERK, FN1, BAG6, UBL4A, USP1, RBM26, WDR43, EIF4ENIF1, NOP16, NCBP1, PRMT1]"
C40,12,14,2.36,"[EZR, PYGL, CFTR, PSMD9, RAD23A, MC1R, TBCE, USP19, HK2, NTF3, AHCY, LRRFIP2]"
C41,11,11,2.5,"[SOAT1, SMPD3, HSCB, YIPF3, RAB7A, PSEN1, PKN2, UPK1A, PDLIM7, CLTC, FN1]"
C42,11,11,2.5,"[HBB, FRMD1, ARHGEF6, GK, MKI67, APCDD1, PABPC1, DMWD, PNPLA1, BMP5, LTF]"
C43,11,11,2.5,"[CD1B, MAN1A1, MR1, HLA-A, QSOX2, GHITM, CNTNAP3B, CANX, BTN2A1, GAS6, SMPD1]"
C44,11,11,2.5,"[GLB1, ATP6AP2, VIM, CDK2, PLAUR, HSCB, H2AFX, TRAPPC2L, TRAPPC5, YPEL5, CAD]"
C45,11,11,2.5,"[SLC4A7, VSIG4, SH2D3C, MAS1, ESR1, ATP2B2, USH1C, PDZK1, SEC61B, LAMP1, SGPL1]"
C46,11,11,2.5,"[LOXL2, MTA1, ELN, MTA2, IK, PDIA3, SCGB2A2, RBBP7, FBXO6, SIN3A, UGT8]"
C47,11,11,2.5,"[BCHE, SLAMF1, CPSF7, NHP2, MIA2, TUBA3D, SMR3B, NOP10, ENTPD5, SCGB1D1, FN1]"
C48,11,12,2.29,"[PIGT, ZNF609, TOR1AIP1, ESR1, HSCB, POGLUT1, FBXO6, BORA, USP54, EGFL7, PIGS]"
C49,11,11,2.5,"[CD1E, TMEM67, ANKRD46, TMEM30A, MIA2, FCGRT, ENTPD7, NCEH1, TMEM59L, KCNJ8, CD1B]"
C50,11,11,2.5,"[PC, ERBB2, SLAMF1, DISC1, XRCC3, RAB7A, EPHA7, YBEY, LRP1, TPSB2, FN1]"
C51,11,11,2.5,"[DHCR24, CISD3, CKAP5, COQ9, CNR2, CCR4, IKBKB, PGRMC1, NDUFA4, ESR1, AGK]"
C52,11,11,2.5,"[TF, MYC, DRD2, CANX, CALR, IGF2, TFR2, GAST, DDX31, CCDC82, CD1D]"
C53,11,11,2.5,"[PYGL, OGFOD1, FH, TRNT1, H2AFZ, LRRFIP2, AHCY, TEX101, FKBP5, IKBKB, CFTR]"
C54,11,11,2.5,"[TXNRD1, CRYZ, TNPO1, OLA1, PAPSS2, TUBB, NAE1, IPO5, UBXN1, TUBA4A, FN1]"
C55,11,11,2.5,"[GPAA1, ATP5F1B, DPEP1, PTGIR, GNRHR, HTR3A, AGTR1, ARF6, GABRA3, LPAR1, PIGO]"
C56,11,11,2.5,"[NPC2, NEDD4L, LRP1, BARD1, PSG1, NME2, NEGR1, NME2P1, DEFA1, IRGQ, FGB]"
C57,11,11,2.5,"[CELA1, EIF4E2, PRRC2A, DISC1, PRR14, CCT2, TUBB1, ZNF318, BCOR, CEP164, FN1]"
C58,11,12,2.29,"[FBN2, EGLN3, DISC1, AURKA, PRG2, LTBP1, ELN, LYPD4, ADAMTSL1, ZNF408, FBN1]"
C59,11,11,2.5,"[NOS3, HBA1, SIRT1, APP, GOLGA2, ACTB, ST13, GCDH, CDC37, GUCY1B1, CFTR]"
C60,11,11,2.5,"[ACP6, RSU1, ECH1, RGS10, C1QBP, ERH, LIMS1, SDHAF3, NME4, DHCR7, FN1]"
C61,11,11,2.5,"[FBLN5, IQCN, TOP3B, ZNF550, ZNF408, TKTL2, ZFP41, DNAJC10, ZNF331, NUFIP2, FBN1]"
