Cno ,  Csize , CEdge , CDensity , Cluster Info
C1,10,24,0.94,"[FGA, KHDRBS2, FGG, RING1, SNX27, ALDH2, HIST1H2BJ, FGB, DDX19B, MAPK6]"
C2,9,23,0.78,"[PIGU, LYPD3, PIGK, PIGS, GPAA1, VNN2, PIGT, PRSS50, STOM]"
C3,9,19,0.95,"[F2, THBS1, FGA, PLAT, ALB, YWHAQ, APOA1, FN1, PLG]"
C4,7,11,0.95,"[TF, CD81, TFRC, APOA1, DDX31, SNX27, FN1]"
C5,7,11,0.95,"[PCCB, IFIT1, NDUFS7, MCCC1, PCCA, MCCC2, STK4]"
C6,7,11,0.95,"[PLG, METTL14, HMGB1, ENO1, FN1, IGFBP3, THBS1]"
C7,7,11,0.95,"[CAD, PRKCE, SEC16A, TRIM29, CFTR, STAU1, PSMC2]"
C8,7,11,0.95,"[TGM2, LOX, FN1, PLG, IGFBP3, ENO1, METTL14]"
C9,7,11,0.95,"[ACACA, RPL27A, COPB1, ILK, FN1, MYC, LGALS3BP]"
C10,7,11,0.95,"[TCP1, GBA, NSMAF, CFTR, HSPD1, CCT8, CCT3]"
C11,6,11,0.68,"[PIGH, PIGC, IL18RAP, PIGQ, PIGP, PIGA]"
C12,6,8,0.94,"[NOS2, S100A9, S100A8, HSP90AA1, CFTR, SLC9A3R1]"
C13,6,8,0.94,"[ZFP41, FBN2, FBN1, FBLN5, ZNF408, LTBP1]"
C14,6,8,0.94,"[COPS5, QDPR, PTGS2, PCBD1, CUL4A, CUL1]"
C15,6,8,0.94,"[PDIA6, TXNRD1, CFTR, FN1, HSPA5, SNAP23]"
C16,6,8,0.94,"[CCT5, NSMAF, CFTR, FN1, TUBB6, CCT2]"
C17,6,8,0.94,"[CCT4, NSMAF, CFTR, FN1, XPO1, CCT2]"
C18,6,9,0.83,"[GDPD1, TF, APOA1, HBB, DDX19B, MAPK6]"
C19,6,8,0.94,"[CDC37, NOS3, CFTR, ACTB, CALM1, HSP90AA1]"
C20,6,8,0.94,"[TSHR, PC, FN1, RAB7A, MDH2, DISC1]"
C21,5,9,0.56,"[ELN, LOX, FBN1, FBLN5, EFEMP2]"
C22,5,5,1,"[NSMAF, CCT2, PKP3, CCT8, CFTR]"
C23,5,5,1,"[BCHE, SLAMF1, CPSF7, NHP2, FN1]"
C24,5,5,1,"[GBA, HSP90B1, MTREX, CCT3, CFTR]"
C25,5,5,1,"[ASAH1, TBC1D22B, ZNF556, ZIC1, GM2A]"
C26,5,5,1,"[PIGA, FAM189B, PCDHA3, HAVCR2, SMPD2]"
C27,5,5,1,"[PCBD1, CUL1, CUL4A, CUL4B, PTGS2]"
C28,5,5,1,"[NOS3, HBA1, SIRT1, APP, APOA1]"
C29,5,5,1,"[MCCC2, OTUB1, HDAC11, CUL3, CAD]"
C30,5,5,1,"[CA2, CUL4A, CUL1, ARHGAP26, PCBD1]"
C31,5,5,1,"[PIGO, ADGRG5, UPK1A, ATP2A3, SOAT1]"
C32,5,5,1,"[CA9, SLC3A2, ITGB1, ITGA2, FN1]"
C33,5,5,1,"[FBN1, FBXO2, LTBP1, VCAN, BCHE]"
C34,5,5,1,"[GPX4, OTUB1, PPIB, HSCB, CAD]"
C35,5,5,1,"[TPH1, CFL1, YWHAZ, YEATS4, FN1]"
C36,5,5,1,"[FBXO6, ASAH1, UGT8, LOXL2, SCGB2A2]"
C37,5,5,1,"[MGLL, HTR4, LTB4R2, ADRB2, CERS1]"
C38,5,5,1,"[HSPA5, LOXL3, TXNRD1, CAD, ESR1]"
C39,5,5,1,"[DDX19B, GM2A, SULT2B1, LTF, CDK15]"
C40,5,6,0.83,"[YWHAQ, FGB, SLC4A7, FGG, ASCC1]"
C41,5,6,0.83,"[MAPK6, TF, APOA1, CAD, ALDH2]"
C42,5,5,1,"[KPNB1, SMPD4, PLEKHA8, CFTR, LMNA]"
C43,5,5,1,"[C1QBP, ACP6, MCCC2, APOA1, ECH1]"
C44,5,5,1,"[RACK1, SMPD3, NSMAF, CFTR, ACTB]"
C45,5,5,1,"[LGALS3, ABCB1, SLC4A7, CFTR, YWHAB]"
C46,5,5,1,"[B2M, CD1A, CD1E, CD1B, CANX]"
C47,5,5,1,"[CLTC, SOAT1, OCRL, CFTR, RAB5A]"
C48,5,5,1,"[RPN1, SOAT1, PIGU, CFTR, RAB11A]"
C49,5,5,1,"[CALM1, GP6, NOS3, NOS2, CAV1]"
C50,5,6,0.83,"[HSPA8, CAD, CFTR, HBB, YWHAQ]"
C51,5,5,1,"[CD1D, P4HTM, CANX, CALR, TF]"
C52,5,5,1,"[MPST, HSCB, RAE1, DISC1, FN1]"
C53,5,5,1,"[CLINT1, LOXL3, CFTR, DYNLL1, PPP2R1A]"
C54,5,5,1,"[PLAUR, FAP, LOXL2, GLB1, FBXO6]"
C55,5,5,1,"[BEST1, RPLP2, NEDD4L, PPP2CA, CFTR]"
C56,5,5,1,"[PRDX6, GPX4, CFTR, FN1, SNAP23]"
C57,5,5,1,"[UPF3A, CA1, APOA1, HBB, HP]"
C58,5,5,1,"[NME2P1, MOGAT2, NPC2, FGB, NME2]"
C59,5,5,1,"[CAND1, QDPR, CA9, FN1, GLRX3]"
C60,5,5,1,"[HELZ, CELA1, CELA3A, PIGT, USP54]"
C61,5,5,1,"[IPO5, TXNRD1, CFTR, FN1, DNAJB1]"
C62,5,6,0.83,"[TUBA1C, TXNRD1, CAD, CFTR, RUVBL2]"
C63,5,5,1,"[FARSB, GPX7, FGB, FN1, FBLN1]"
C64,5,6,0.83,"[LPAR1, PIGO, PIGU, GPAA1, YIPF3]"
