Cno ,  Csize , CEdge , CDensity , Cluster Info
C1,15,45,1.17,"[FGA, KHDRBS2, FGG, RING1, SNX27, ALDH2, HIST1H2BJ, FGB, DDX19B, MAPK6, YWHAQ, APOA1, MIS12, TF, FN1]"
C2,12,21,1.57,"[PCCB, IFIT1, NDUFS7, MCCC1, PCCA, MCCC2, STK4, ECH1, MRPL58, INPPL1, ACSM5, ACACA]"
C3,12,21,1.57,"[PLG, METTL14, HMGB1, ENO1, IGFBP3, THBS1, FN1, LOX, TGM2, CFTR, LGALS3BP, ACACA]"
C4,12,21,1.57,"[CAD, PRKCE, SEC16A, TRIM29, STAU1, PSMC2, CFTR, TUBA1C, XPO1, RUVBL1, RUVBL2, RAB5A]"
C5,12,20,1.65,"[PDIA6, TXNRD1, CFTR, FN1, HSPA5, RPL36, XRCC5, RPS15, ESYT2, KRT18, RPL28, SNAP23]"
C6,11,17,1.62,"[NOS2, S100A9, S100A8, HSP90AA1, SLC9A3R1, CUL5, CFTR, CAV1, NOS3, CDC37, OCRL]"
C7,11,17,1.62,"[BEST1, RPLP2, NEDD4L, PPP2CA, CFTR, FN1, PRDX6, TUBB6, IPO5, CCT4, MYH9]"
C8,11,17,1.62,"[MYL6, CFTR, FN1, EHD1, PFKL, LGALS1, CAPZA1, SNAP23, PPP2R1A, KPNB1, DNAJB1]"
C9,11,17,1.62,"[SPSB2, NOS2, CALM1, S100A9, S100A8, HSP90AA1, OCRL, CFTR, SLC9A3R1, CLTC, CLTA]"
C10,10,21,1.07,"[F2, THBS1, FGA, PLAT, ALB, FN1, F13A1, YWHAQ, PLG, APOA1]"
C11,10,14,1.61,"[GBA, HSP90B1, MTREX, CCT3, HSPD1, IMP3, CFTR, CBL, TCP1, NSMAF]"
C12,10,14,1.61,"[PIGA, FAM189B, PCDHA3, HAVCR2, LTF, ZNRF4, SMPD2, PCDHB7, PCDHGB4, LRRTM1]"
C13,10,14,1.61,"[PCBD1, CUL1, CUL4A, CUL4B, CUL5, CUL3, PTGS2, CA2, QDPR, COPS5]"
C14,10,14,1.61,"[ABCB1, HMMR, RNF2, CAV1, LGALS3, DYNLL1, CFTR, DYNC1H1, RACK1, HSPA8]"
C15,10,14,1.61,"[B2M, CD1A, CD1E, CD1B, CD1D, ENTPD7, CANX, DIPK1A, MAN1A2, KCNJ8]"
C16,10,14,1.61,"[FARSB, GPX7, FGB, FN1, PLEKHJ1, MCTS1, FBLN1, PPID, RBM12, FEN1]"
C17,10,14,1.61,"[CCT5, NSMAF, CFTR, FN1, PFDN2, NEK4, FLOT2, HSPA1A, IGF2BP3, CCT2]"
C18,10,14,1.61,"[YWHAQ, SLC4A7, CFTR, HBB, USH1C, PDZK1, LPAR2, HSPA8, YWHAB, LGALS3]"
C19,10,14,1.61,"[HYOU1, GBA, CFTR, ZMYND11, ZCCHC8, CCT8, CANX, HSP90B1, TCP1, NSMAF]"
C20,10,14,1.61,"[VASP, NSMAF, FN1, CCT4, CCT7, XIRP2, CCT2, CFTR, GSN, PXN]"
C21,10,14,1.61,"[YWHAH, SLC4A7, FN1, SLC4A8, YWHAG, IZUMO1, YWHAB, CFTR, GSN, PXN]"
C22,9,23,0.78,"[PIGU, LYPD3, PIGK, PIGS, GPAA1, VNN2, PIGT, PRSS50, STOM]"
C23,9,11,1.64,"[CAD, LGALS3BP, TP63, MAPK7, SH3BGRL, MAPK6, DYNLL1, PRKCZ, METTL3]"
C24,9,11,1.64,"[OCRL, AP2S1, LTF, HMGB2, LSM12, BOLA2, FN1, SNRPE, DHX30]"
