Cno ,  Csize , CEdge , CDensity , Cluster Info
C1,15,45,1.17,"[FGA, KHDRBS2, FGG, RING1, SNX27, ALDH2, HIST1H2BJ, FGB, DDX19B, MAPK6, YWHAQ, APOA1, MIS12, TF, FN1]"
C2,10,21,1.07,"[F2, THBS1, FGA, PLAT, ALB, FN1, F13A1, YWHAQ, PLG, APOA1]"
C3,10,18,1.25,"[ACACA, RPL27A, COPB1, ILK, MYC, FN1, LGALS3BP, CAD, HDAC1, CFTR]"
C4,9,23,0.78,"[PIGU, LYPD3, PIGK, PIGS, GPAA1, VNN2, PIGT, PRSS50, STOM]"
C5,9,15,1.2,"[PCCB, IFIT1, NDUFS7, MCCC1, PCCA, MCCC2, STK4, ECH1, MRPL58]"
C6,9,15,1.2,"[PLG, METTL14, HMGB1, ENO1, IGFBP3, FN1, THBS1, LOX, TGM2]"
C7,9,15,1.2,"[CAD, PRKCE, SEC16A, TRIM29, STAU1, CFTR, PSMC2, TUBA1C, XPO1]"
C8,8,12,1.17,"[NOS2, S100A9, S100A8, HSP90AA1, SLC9A3R1, CFTR, OCRL, VIM]"
C9,8,12,1.17,"[COPS5, QDPR, PTGS2, PCBD1, CUL1, CUL4A, CA2, CUL3]"
C10,8,12,1.17,"[PRKAR2A, CFTR, DYNLL1, CLINT1, DSP, DYNC1H1, SKP1, PPP2R1A]"
C11,7,9,1.17,"[GBA, HSP90B1, MTREX, CCT3, HSPD1, CFTR, TCP1]"
C12,7,9,1.17,"[B2M, CD1A, CD1E, CD1B, CD1D, FCGRT, CANX]"
C13,7,9,1.17,"[ZFP41, FBN2, FBN1, FBLN5, PYGL, ZNF408, LTBP1]"
C14,7,9,1.17,"[BEST1, RPLP2, NEDD4L, PPP2CA, CFTR, FN1, QARS]"
C15,7,9,1.17,"[GLRX3, CA9, EFEMP2, FN1, CAND1, SLC3A2, ITGB1]"
C16,7,9,1.17,"[CCT5, NSMAF, CFTR, FN1, EPB41L2, YWHAZ, CCT2]"
C17,7,9,1.17,"[MDH2, PC, CFTR, FN1, RAB7A, PHB, LDHA]"
C18,7,9,1.17,"[PCDHGB4, SMPD2, PIGA, TEX28, PCDHB7, FAM189B, PCDHA3]"
C19,7,9,1.17,"[CCT6A, NSMAF, CFTR, PFDN2, CCT3, CCT2, RACK1]"
C20,7,9,1.17,"[CLTB, OCRL, FN1, GRB2, APPL1, AP2M1, CLTC]"
C21,7,9,1.17,"[AP2B1, OCRL, FN1, RAC1, RAB31, AP2A2, CLTC]"
C22,7,9,1.17,"[TPM3, CFTR, FN1, ARPC1B, YWHAB, FLNB, SNAP23]"
C23,6,11,0.68,"[PIGH, PIGC, IL18RAP, PIGQ, PIGP, PIGA]"
C24,6,6,1.25,"[OCRL, AP2S1, LTF, HMGB2, LSM12, FN1]"
C25,6,6,1.25,"[NSMAF, CCT2, PKP3, CCT8, NEK9, CFTR]"
C26,6,6,1.25,"[SLC4A7, VSIG4, SH2D3C, MAS1, ESR1, SGPL1]"
C27,6,6,1.25,"[BCHE, SLAMF1, CPSF7, NHP2, MIA2, FN1]"
C28,6,6,1.25,"[PIGT, ZNF609, TOR1AIP1, ESR1, HSCB, CAD]"
C29,6,6,1.25,"[TF, MYC, DRD2, CANX, CALR, CD1D]"
C30,6,6,1.25,"[ASAH1, TBC1D22B, ZNF556, ZIC1, LYPD1, GM2A]"
C31,6,6,1.25,"[PIGA, FAM189B, PCDHA3, HAVCR2, LTF, SMPD2]"
C32,6,6,1.25,"[PCBD1, CUL1, CUL4A, CUL4B, CUL5, PTGS2]"
C33,6,6,1.25,"[AGK, BAD, AGO4, RSPRY1, RIPK4, CAD]"
C34,6,6,1.25,"[NOS3, HBA1, SIRT1, APP, GOLGA2, APOA1]"
C35,6,6,1.25,"[ACP6, RSU1, ECH1, RGS10, C1QBP, FN1]"
C36,6,6,1.25,"[MCCC2, OTUB1, HDAC11, CUL3, C1QBP, CAD]"
C37,6,6,1.25,"[CA2, CUL4A, CUL1, ARHGAP26, LRRK2, PCBD1]"
C38,6,6,1.25,"[PIGO, ADGRG5, UPK1A, ATP2A3, HTR3A, SOAT1]"
C39,6,6,1.25,"[CA9, SLC3A2, ITGB1, ITGA2, MMP14, FN1]"
C40,6,6,1.25,"[FBN1, FBXO2, LTBP1, VCAN, MYOC, FN1]"
C41,6,6,1.25,"[GCH1, GCHFR, RPS12, RPH3A, AHSA1, CFTR]"
C42,6,6,1.25,"[TP53, CELA2B, DHCR24, EFEMP2, CAD, ESR1]"
C43,6,6,1.25,"[GPX4, OTUB1, PPIB, HSCB, GSTO2, CAD]"
C44,6,6,1.25,"[TPH1, CFL1, YWHAZ, YEATS4, DNAJC12, TH]"
C45,6,6,1.25,"[FBXO6, ASAH1, UGT8, LOXL2, PIGS, SCGB2A2]"
C46,6,6,1.25,"[MGLL, HTR4, LTB4R2, ADRB2, USE1, CERS1]"
C47,6,6,1.25,"[ACACB, HIST4H4, HMGA1, PRKAA1, STK25, ACACA]"
C48,6,6,1.25,"[GP6, HIST3H3, YES1, FCER1G, CALM1, CFTR]"
C49,6,7,1.07,"[HSPA5, LOXL3, TXNRD1, CAD, CFTR, HSPA8]"
C50,6,6,1.25,"[SEC61B, SMPD4, SOAT1, SLC4A7, FN1, YWHAB]"
